"","index","batter","zone_1","zone_2","zone_3","zone_4","zone_5","zone_6","zone_7","zone_8","zone_9","next1_avg","next1_bbpa","next1_iso","next1_hits","next1_hr","next1_ops","next1_stkout","next1_rbi","next2_avg","next2_bbpa","next2_iso","next2_hits","next2_hr","next2_ops","next2_stkout","next2_rbi","cur_avg","cur_bbpa","cur_iso","cur_hits","cur_hr","cur_ops","cur_stkout","cur_rbi","CU_miss","FA_miss","SL_miss","bats_l","pitch_count","mon_third","mon_second","mon_first","scoreStd","target_vertical","target_horizontal","target_type","outs_when_up_0","outs_when_up_1","outs_when_up_2","strikes_0","strikes_1","strikes_2","balls_0","balls_1","balls_2","balls_3","at_bat_pitch_count_0","at_bat_pitch_count_1","at_bat_pitch_count_2","at_bat_pitch_count_3","at_bat_pitch_count_4","at_bat_pitch_count_5","at_bat_pitch_count_6","at_bat_pitch_count_7","at_bat_pitch_count_8","at_bat_pitch_count_9","at_bat_pitch_count_10","at_bat_pitch_count_11","at_bat_pitch_count_12","lp_type_CH","lp_type_CT","lp_type_CU","lp_type_FA","lp_type_IB","lp_type_ND","lp_type_SL","lp_type_NA","inning_1","inning_2","inning_3","inning_4","inning_5","inning_6","inning_7","inning_8","inning_9","lp_horizontal_umpLeft","lp_horizontal_umpMiddle","lp_horizontal_umpRight","lp_vertical_high","lp_vertical_low","lp_vertical_middle"
"1",1000,445055,0.0505050505050505,0.0843373493975904,0.0804597701149425,0.165413533834586,0.0989010989010989,0.0351758793969849,0.00568181818181818,0.0405405405405405,0.016260162601626,0.25,0.063,0.154,129,14,0.709,131,62,0.265,0.06,0.178,158,23,0.755,147,100,0.21,0.078,0.048,44,1,0.563,36,10,0.0888888888888889,0.0481507327285415,0.107954545454545,1,1,-1,-1,-1,2,"middle","umpMiddle","FA",1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
"2",1001,445055,0.0505050505050505,0.0843373493975904,0.0804597701149425,0.165413533834586,0.0989010989010989,0.0351758793969849,0.00568181818181818,0.0405405405405405,0.016260162601626,0.25,0.063,0.154,129,14,0.709,131,62,0.265,0.06,0.178,158,23,0.755,147,100,0.21,0.078,0.048,44,1,0.563,36,10,0.0888888888888889,0.0481507327285415,0.107954545454545,1,2,-1,-1,-1,2,"middle","umpMiddle","FA",1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
"3",1002,445055,0.0505050505050505,0.0843373493975904,0.0804597701149425,0.165413533834586,0.0989010989010989,0.0351758793969849,0.00568181818181818,0.0405405405405405,0.016260162601626,0.25,0.063,0.154,129,14,0.709,131,62,0.265,0.06,0.178,158,23,0.755,147,100,0.21,0.078,0.048,44,1,0.563,36,10,0.0888888888888889,0.0481507327285415,0.107954545454545,1,3,-1,-1,-1,2,"high","umpLeft","FA",1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
"4",1003,445055,0.0505050505050505,0.0843373493975904,0.0804597701149425,0.165413533834586,0.0989010989010989,0.0351758793969849,0.00568181818181818,0.0405405405405405,0.016260162601626,0.25,0.063,0.154,129,14,0.709,131,62,0.265,0.06,0.178,158,23,0.755,147,100,0.21,0.078,0.048,44,1,0.563,36,10,0.0888888888888889,0.0481507327285415,0.107954545454545,1,4,-1,-1,-1,2,"low","umpLeft","CU",1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
"5",1004,445055,0.0505050505050505,0.0843373493975904,0.0804597701149425,0.165413533834586,0.0989010989010989,0.0351758793969849,0.00568181818181818,0.0405405405405405,0.016260162601626,0.25,0.063,0.154,129,14,0.709,131,62,0.265,0.06,0.178,158,23,0.755,147,100,0.21,0.078,0.048,44,1,0.563,36,10,0.0888888888888889,0.0481507327285415,0.107954545454545,1,5,-1,-1,-1,2,"high","umpRight","FA",1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
"6",1005,445055,0.0505050505050505,0.0843373493975904,0.0804597701149425,0.165413533834586,0.0989010989010989,0.0351758793969849,0.00568181818181818,0.0405405405405405,0.016260162601626,0.25,0.063,0.154,129,14,0.709,131,62,0.265,0.06,0.178,158,23,0.755,147,100,0.21,0.078,0.048,44,1,0.563,36,10,0.0888888888888889,0.0481507327285415,0.107954545454545,1,6,-1,-1,-1,2,"low","umpLeft","FA",1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
"7",1006,519083,0.0916030534351145,0.0984848484848485,0.0649350649350649,0.0882352941176471,0.0682730923694779,0.0275,0.00604838709677419,0.0036563071297989,0.01085776330076,0.265,0.06,0.178,158,23,0.755,147,100,0.253,0.107,0.174,57,8,0.763,55,29,0.25,0.063,0.154,129,14,0.709,131,62,0.0968660968660969,0.0535714285714286,0.147110332749562,-1,7,-1,-1,-1,2,"low","umpLeft","FA",-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
"8",1007,519083,0.0916030534351145,0.0984848484848485,0.0649350649350649,0.0882352941176471,0.0682730923694779,0.0275,0.00604838709677419,0.0036563071297989,0.01085776330076,0.265,0.06,0.178,158,23,0.755,147,100,0.253,0.107,0.174,57,8,0.763,55,29,0.25,0.063,0.154,129,14,0.709,131,62,0.0968660968660969,0.0535714285714286,0.147110332749562,-1,8,-1,-1,-1,2,"low","umpRight","CU",-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
"9",1008,519083,0.0916030534351145,0.0984848484848485,0.0649350649350649,0.0882352941176471,0.0682730923694779,0.0275,0.00604838709677419,0.0036563071297989,0.01085776330076,0.265,0.06,0.178,158,23,0.755,147,100,0.253,0.107,0.174,57,8,0.763,55,29,0.25,0.063,0.154,129,14,0.709,131,62,0.0968660968660969,0.0535714285714286,0.147110332749562,-1,9,-1,-1,-1,2,"high","umpRight","FA",-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1
"10",1009,519083,0.0916030534351145,0.0984848484848485,0.0649350649350649,0.0882352941176471,0.0682730923694779,0.0275,0.00604838709677419,0.0036563071297989,0.01085776330076,0.265,0.06,0.178,158,23,0.755,147,100,0.253,0.107,0.174,57,8,0.763,55,29,0.25,0.063,0.154,129,14,0.709,131,62,0.0968660968660969,0.0535714285714286,0.147110332749562,-1,10,-1,-1,-1,2,"high","umpRight","FA",-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
