"","index","batter","zone_1","zone_2","zone_3","zone_4","zone_5","zone_6","zone_7","zone_8","zone_9","next1_avg","next1_bbpa","next1_iso","next1_hits","next1_hr","next1_ops","next1_rbi","next2_avg","next2_bbpa","next2_iso","next2_hits","next2_hr","next2_ops","next2_rbi","cur_avg","cur_bbpa","cur_iso","cur_hits","cur_hr","cur_ops","cur_rbi","CU_miss","FA_miss","SL_miss","pitch_count","scoreStd","next1_ab","next2_ab","cur_ab","next1_stkrt","next2_sktrt","cur_stkrt","bats_l","mon_third","mon_second","mon_first","outs_when_up_1","outs_when_up_2","strikes_0","strikes_2","balls_1","balls_2","balls_3","at_bat_pitch_count_2","at_bat_pitch_count_3","at_bat_pitch_count_4","at_bat_pitch_count_5","at_bat_pitch_count_6","at_bat_pitch_count_7","at_bat_pitch_count_8","at_bat_pitch_count_9","at_bat_pitch_count_10","at_bat_pitch_count_11","at_bat_pitch_count_12","lp_type_CH","lp_type_CT","lp_type_CU","lp_type_IB","lp_type_ND","lp_type_SL","lp_type_NA","inning_2","inning_3","inning_4","inning_5","inning_6","inning_7","inning_8","inning_9","lp_horizontal_umpMiddle","lp_horizontal_umpRight","lp_vertical_low","lp_vertical_middle","target_vertical","target_horizontal","target_type"
"10",1009,519083,0.986479851839142,0.707478527537723,-0.203224644717663,0.0505288456986532,-0.206122067186816,-0.263431413577075,-0.796039961589332,-1.10725171740561,-0.697620303226698,0.158015004598702,-0.469194204234585,0.284962776787581,1.09011251353978,1.05782389902809,0.145635796339869,1.62707580198811,-0.0193768222742813,0.883934356126059,0.235876313627174,-0.606327986224448,-0.381929443475458,0.222065898258598,-0.524291448664618,-0.146353092583206,-0.438058249103875,-0.0784298980203364,0.569269410687904,0.159740919299498,-0.1792963399816,0.448322083889212,0.0933580872847079,-0.661401499381234,0.115314792240233,-1.34959072844436,0.389882828733472,1.26037783090355,-0.589708277248862,0.836934963205331,0.0489144921523475,0.0179206579447801,0.0674779861146879,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,"high","umpRight","FA"
"13",1012,571976,-0.153155464486145,-0.391274553981514,-0.705038059413279,-0.92035742683095,-0.956091814718303,-0.359749312752367,-0.596461671363423,-1.06378503909613,-0.579614675182918,-0.133599335089193,-0.754256827854334,-0.673352982372901,0.868499960753255,-0.192444712386513,-0.542313484684224,0.465206989331903,0.28856942608745,-0.445469864121529,0.0179191881953796,0.843256914836855,0.179748480842513,0.132702123956455,0.49331662617092,-0.0880707694653089,0.801679823638026,0.198676384062842,-0.641960788775704,-0.397216042441746,0.158918920045605,-0.543284758737727,0.0415151975972537,-0.324166434655151,0.0285552451503971,-1.24816122527573,0.389882828733472,1.18958141865076,0.924769230240325,-0.618355632158664,-0.86866499946971,-1.01243993652,0.00190375946714285,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,"high","umpMiddle","FA"
"25",1025,425834,-1.12252127585459,-0.589421518147323,0.490182015462327,1.59192908282973,-0.586941695878213,-0.727328630217313,-0.664241644276211,-0.335781890784555,-0.169698677352714,0.267370381981663,0.129437305366887,-0.39954847975562,-0.205468564289147,-0.769491763808638,0.00561072144115918,-0.788388308534002,-0.073720277867528,-1.32231094556143,-0.676819149118464,-1.33964740676134,-1.03722035517976,-0.510717051018973,-1.2126733816416,0.0284938767704858,0.379041844294196,0.143255127646207,-0.709251355412571,-0.675694523312368,0.115076201153189,-0.903869065147523,0.574175380684964,2.13289866095436,0.467345160028139,-0.808633378211659,0.389882828733472,-0.220424735626675,-1.44221445873936,-0.721713060837312,0.0552157952795469,0.697992160716726,0.371943857509483,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,"high","umpMiddle","FA"
"35",1035,475115,-1.4291573998589,-1.32598844304859,-1.60363417410078,-2.40395892193236,-1.68431778014944,1.62849440228102,-0.964457329177738,-0.732253240269094,0.364599730970783,-0.844409288078437,0.0439185182809626,-1.49476649022474,-0.853259103203611,-1.0580152895197,-1.02326917672762,-1.1247187543029,-0.073720277867528,-0.360614275595088,-0.0365700931625689,0.621555694674538,0.179748480842513,-0.0996436892291166,0.463386976911052,-0.146353092583206,-1.39603766894989,-0.729629660915806,-1.36533438012203,-1.0469991644732,-0.611460283349694,-1.2344046793565,1.30476789143601,-0.406638189014934,1.83063774181554,-0.470535034316219,0.842225632420791,-0.690916036849534,0.874007805360486,-1.46595459151498,-0.482137290749668,0.0959199087854468,0.573642107959761,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"low","umpMiddle","FA"
"39",1039,445055,-0.0973035279210067,0.28554093658608,0.131585909433703,2.19743669257389,0.812109024422176,-0.03440755938889,-0.806247074776508,0.00169049186595375,-0.507134788141443,-0.115373438858699,-0.38367541714866,-0.0436026263531558,0.595746049631375,0.192253321894903,-0.13441435345755,0.465206989331903,0.197997000098706,-0.445469864121529,0.290365594985122,1.11611995503663,1.02226536731947,0.174405218630788,1.60071364878607,-0.92345073415517,-0.0154202697600452,-1.54709319306118,-0.860655130345522,-1.0469991644732,-1.09373019116626,-1.11420991055324,-0.0834732964492246,-0.832477413878937,-0.637204362078677,-0.335295696758043,0.842225632420791,0.855185667215415,1.2786463074641,-0.698166563586389,0.100651717498275,0.0409140003281605,-0.453429148645832,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpLeft","SL"
"40",1040,445055,-0.0973035279210067,0.28554093658608,0.131585909433703,2.19743669257389,0.812109024422176,-0.03440755938889,-0.806247074776508,0.00169049186595375,-0.507134788141443,-0.115373438858699,-0.38367541714866,-0.0436026263531558,0.595746049631375,0.192253321894903,-0.13441435345755,0.465206989331903,0.197997000098706,-0.445469864121529,0.290365594985122,1.11611995503663,1.02226536731947,0.174405218630788,1.60071364878607,-0.92345073415517,-0.0154202697600452,-1.54709319306118,-0.860655130345522,-1.0469991644732,-1.09373019116626,-1.11420991055324,-0.0834732964492246,-0.832477413878937,-0.637204362078677,-0.301485862368499,0.842225632420791,0.855185667215415,1.2786463074641,-0.698166563586389,0.100651717498275,0.0409140003281605,-0.453429148645832,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpMiddle","FA"
"41",1041,445055,-0.0973035279210067,0.28554093658608,0.131585909433703,2.19743669257389,0.812109024422176,-0.03440755938889,-0.806247074776508,0.00169049186595375,-0.507134788141443,-0.115373438858699,-0.38367541714866,-0.0436026263531558,0.595746049631375,0.192253321894903,-0.13441435345755,0.465206989331903,0.197997000098706,-0.445469864121529,0.290365594985122,1.11611995503663,1.02226536731947,0.174405218630788,1.60071364878607,-0.92345073415517,-0.0154202697600452,-1.54709319306118,-0.860655130345522,-1.0469991644732,-1.09373019116626,-1.11420991055324,-0.0834732964492246,-0.832477413878937,-0.637204362078677,-0.267676027978955,0.842225632420791,0.855185667215415,1.2786463074641,-0.698166563586389,0.100651717498275,0.0409140003281605,-0.453429148645832,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,"middle","umpLeft","FA"
"45",1045,461314,-0.185256142105585,-0.608872071779019,0.460127237621708,-0.0292918947121122,-0.87240640389985,0.156217299738768,-0.374520787342642,-0.150737648760904,-0.534506387962486,-0.0606957501672191,0.870600126778234,0.230201876264124,-0.631646550417084,-0.384793729527222,0.19434017021768,-0.543784347974801,-0.091834763065277,-0.728321825876335,-0.663196828778977,0.894418734874313,-0.194703468702801,-0.498801881112021,0.463386976911052,0.145058523006281,-0.522585844972641,0.254097640479478,1.05712601880519,0.995176361911364,0.10881295559713,1.59017238752023,0.870942520221854,0.286134768844271,0.925128259218145,-0.132436690420779,0.842225632420791,-0.610533199017754,1.20794663265419,1.23924427279753,0.0272875111659544,-0.934636837216305,0.0212343380122163,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,"high","umpRight","SL"
"49",1049,571976,-0.153155464486145,-0.391274553981514,-0.705038059413279,-0.92035742683095,-0.956091814718303,-0.359749312752367,-0.596461671363423,-1.06378503909613,-0.579614675182918,-0.133599335089193,-0.754256827854334,-0.673352982372901,0.868499960753255,-0.192444712386513,-0.542313484684224,0.465206989331903,0.28856942608745,-0.445469864121529,0.0179191881953796,0.843256914836855,0.179748480842513,0.132702123956455,0.49331662617092,-0.0880707694653089,0.801679823638026,0.198676384062842,-0.641960788775704,-0.397216042441746,0.158918920045605,-0.543284758737727,0.0415151975972537,-0.324166434655151,0.0285552451503971,0.00280264713739757,0.842225632420791,1.18958141865076,0.924769230240325,-0.618355632158664,-0.86866499946971,-1.01243993652,0.00190375946714285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpRight","SL"
"51",1051,493351,1.0353946248486,1.06994521685735,0.0900548378756613,0.160777705237634,0.240657809405877,0.0665761199387834,0.324663262239693,-0.334268240675991,-0.223842614381496,0.249144485751169,-0.469194204234585,0.0111582741703003,0.817358602417902,0.192253321894903,0.103019469196783,0.495782484401803,0.0893100889122122,0.45965641349385,0.181387032269225,-0.674543746274391,-0.662768405634444,0.180362803584264,-0.883447239783043,-0.165780533622505,-0.804344497868528,-0.715774346811647,0.838431677235373,-0.211563721861331,-0.598933792237575,0.448322083889212,-0.376371611591529,-1.2722139871094,-0.0820260965076814,0.0704223159164857,0.842225632420791,0.906016548290809,-0.693664099609031,1.16895156161631,-0.941844710416812,0.4580760650904,-0.798914458775849,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,"middle","umpMiddle","FA"
