"","target_vertical","target_horizontal","target_type","index","batter"
"10","high","umpRight","FA",1009,519083
"13","high","umpMiddle","FA",1012,571976
"25","high","umpMiddle","FA",1025,425834
"35","low","umpMiddle","FA",1035,475115
"39","low","umpLeft","SL",1039,445055
"40","low","umpMiddle","FA",1040,445055
"41","middle","umpLeft","FA",1041,445055
"45","high","umpRight","SL",1045,461314
"49","low","umpRight","SL",1049,571976
"51","middle","umpMiddle","FA",1051,493351
"59","low","umpLeft","FA",1059,425834
"62","low","umpLeft","CU",1062,425834
"69","low","umpLeft","FA",1069,605486
"71","high","umpLeft","FA",1071,489267
"104","low","umpLeft","SL",1106,452254
"107","high","umpLeft","FA",1109,622110
"116","high","umpLeft","FA",1118,518516
"126","low","umpRight","CU",1128,434636
"134","low","umpRight","CU",1136,452254
"149","low","umpRight","SL",1151,518516
"150","low","umpRight","SL",1152,518516
"151","high","umpLeft","FA",1153,501303
"172","low","umpLeft","SL",1174,605509
"207","high","umpLeft","SL",1209,518516
"219","high","umpLeft","FA",1221,452254
"228","middle","umpLeft","SL",1230,622110
"240","low","umpLeft","SL",1242,518516
"250","high","umpLeft","FA",1252,434636
"261","low","umpRight","FA",1263,452254
"265","low","umpLeft","SL",1267,452254
"268","high","umpLeft","FA",1270,474832
"270","low","umpLeft","SL",1272,474832
"272","low","umpLeft","FA",1274,474832
"277","middle","umpMiddle","FA",1279,622110
"282","high","umpLeft","FA",1284,607776
"292","high","umpLeft","FA",1294,430947
"298","low","umpRight","CU",1300,593495
"302","low","umpLeft","FA",1304,452095
"308","high","umpRight","CU",1310,453211
"309","low","umpLeft","CU",1311,453211
"323","middle","umpMiddle","FA",1329,518692
"325","high","umpRight","CU",1331,518692
"328","high","umpRight","FA",1334,611177
"329","low","umpRight","CU",1335,611177
"331","low","umpMiddle","CU",1337,452095
"332","high","umpMiddle","SL",1338,452095
"342","high","umpMiddle","SL",1353,605538
"351","low","umpLeft","CU",1363,518692
"384","low","umpMiddle","SL",1399,518692
"385","high","umpRight","CU",1400,518692
"392","low","umpLeft","SL",1407,452095
"393","low","umpMiddle","CU",1408,452095
"439","low","umpRight","FA",1454,519317
"442","low","umpRight","CU",1457,519317
"443","low","umpLeft","SL",1458,542303
"444","low","umpRight","CU",1459,542303
"450","low","umpLeft","FA",1465,453400
"452","low","umpLeft","FA",1467,453400
"454","high","umpRight","FA",1469,588751
"457","high","umpLeft","FA",1472,500743
"466","high","umpRight","FA",1481,592885
"470","middle","umpMiddle","FA",1485,592885
"480","low","umpLeft","SL",1495,592663
"485","high","umpRight","FA",1500,588751
"487","high","umpMiddle","FA",1502,500743
"488","middle","umpMiddle","FA",1503,500743
"496","middle","umpRight","FA",1511,445988
"502","middle","umpLeft","FA",1517,571976
"504","high","umpLeft","CU",1519,571976
"505","low","umpLeft","SL",1520,571976
