"","target_vertical","target_horizontal","target_type","index","batter"
"2765","middle","umpLeft","FA",3860,605412
"1614","low","umpLeft","SL",2646,516782
"1651","low","umpLeft","SL",2687,425796
"1912","middle","umpLeft","FA",2948,506924
"611","high","umpLeft","FA",1627,518626
"1930","low","umpLeft","SL",2966,571448
"1439","middle","umpRight","FA",2471,150029
"187","middle","umpRight","FA",1189,605412
"4205","middle","umpRight","FA",5404,608384
"314","high","umpRight","FA",1319,430947
"3173","high","umpMiddle","SL",4302,572191
"1818","high","umpRight","SL",2854,491676
"2123","high","umpRight","SL",3168,448602
"1273","high","umpLeft","FA",2305,607776
"1878","low","umpRight","CU",2914,506924
"4174","low","umpMiddle","SL",5373,608384
"2294","low","umpLeft","FA",3343,453568
"131","high","umpLeft","FA",1133,452254
"340","low","umpRight","FA",1351,605538
"1369","middle","umpMiddle","FA",2401,502671
"1022","middle","umpMiddle","FA",2051,493316
"3889","high","umpMiddle","FA",5024,607345
"798","middle","umpRight","FA",1814,501571
"1898","high","umpMiddle","FA",2934,518614
"2831","low","umpLeft","SL",3933,572761
"3146","low","umpLeft","FA",4275,544931
"4307","low","umpLeft","CU",5508,491676
"382","low","umpRight","FA",1397,593495
"1635","low","umpLeft","CU",2671,592663
"851","middle","umpMiddle","SL",1871,594777
"691","low","umpLeft","SL",1707,429665
"1254","high","umpLeft","FA",2286,452655
"1598","high","umpMiddle","FA",2630,446481
"1357","low","umpLeft","CU",2389,571578
"1940","high","umpMiddle","FA",2976,467827
"306","low","umpLeft","SL",1308,453211
"3981","middle","umpMiddle","SL",5180,453568
"2834","low","umpLeft","FA",3936,572761
"2383","low","umpLeft","SL",3432,572863
"638","high","umpLeft","FA",1654,489365
"2436","low","umpMiddle","CU",3494,453211
"3847","middle","umpMiddle","SL",4981,573135
"3300","high","umpRight","FA",4429,547379
"2982","low","umpLeft","SL",4098,546991
"1174","low","umpRight","CU",2206,425796
"1146","low","umpRight","SL",2178,452095
"2664","low","umpLeft","SL",3757,571448
"781","high","umpMiddle","FA",1797,434158
"981","high","umpRight","CU",2010,571740
"2611","low","umpLeft","SL",3703,642707
"3062","low","umpLeft","CU",4189,570267
"1204","high","umpRight","SL",2236,488818
"4266","low","umpLeft","SL",5466,452254
"3293","low","umpLeft","FA",4422,608070
"3516","low","umpRight","CU",4647,448602
