"","index","batter","zone_1","zone_2","zone_3","zone_4","zone_5","zone_6","zone_7","zone_8","zone_9","next1_avg","next1_bbpa","next1_iso","next1_hits","next1_hr","next1_ops","next1_rbi","next2_avg","next2_bbpa","next2_iso","next2_hits","next2_hr","next2_ops","next2_rbi","cur_avg","cur_bbpa","cur_iso","cur_hits","cur_hr","cur_ops","cur_rbi","CU_miss","FA_miss","SL_miss","pitch_count","scoreStd","next1_ab","next2_ab","cur_ab","next1_stkrt","next2_sktrt","cur_stkrt","bats_l","mon_third","mon_second","mon_first","outs_when_up_1","outs_when_up_2","strikes_0","strikes_2","balls_1","balls_2","balls_3","at_bat_pitch_count_2","at_bat_pitch_count_3","at_bat_pitch_count_4","at_bat_pitch_count_5","at_bat_pitch_count_6","at_bat_pitch_count_7","at_bat_pitch_count_8","at_bat_pitch_count_9","at_bat_pitch_count_10","at_bat_pitch_count_11","at_bat_pitch_count_12","lp_type_CH","lp_type_CT","lp_type_CU","lp_type_IB","lp_type_ND","lp_type_SL","lp_type_NA","inning_2","inning_3","inning_4","inning_5","inning_6","inning_7","inning_8","inning_9","lp_horizontal_umpMiddle","lp_horizontal_umpRight","lp_vertical_low","lp_vertical_middle","target_vertical","target_horizontal","target_type"
"4322",5524,596115,-0.87976767768452,-1.14304044749426,-0.335027894541956,-0.489908827908177,-0.191853347179887,-0.866157014908839,-0.744338714358635,-0.409278755182656,-0.329619206977821,0.194466797059689,1.12715648803601,0.85995223228387,0.76621724408255,1.73104545902057,0.657031722056893,1.53534931677841,0.143653544505459,0.827363963775098,0.0587861492138411,0.519232054599623,0.179748480842513,0.216108313305122,0.313738730611708,-0.398909826094095,0.266338383135841,0.794454890541676,0.401042994095737,1.08800252220157,0.146392428933486,1.04929592790554,0.729656926503436,1.05661091873809,0.430866395431823,-1.28197105966528,-0.514802778641167,0.879041835680614,0.640126410268374,0.766847020235582,0.681889995166332,0.0922268155679601,0.867540606317574,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpRight","SL"
"3958",5157,518934,0.611918967352424,0.00334030681149842,0.51996277089375,0.445405928685598,0.677161558666345,-0.0885100923032215,-0.252862762715315,0.270317198923629,-0.4105905827791,0.959954438740413,0.385993666624661,1.65398528987398,1.58447897744819,2.40426701901305,1.3936853769588,2.54434065408511,0.234225970494204,1.13850112170539,0.862503049243582,0.792095094799397,1.67755627902377,0.674842354722788,1.51092470100646,1.03872081081404,0.238162517846253,-0.840472173749077,1.57862791024091,-0.397216042441746,0.29671032227891,0.508419468290844,-1.09604348187805,-0.927155413845921,-1.19876564073729,-1.28197105966528,-0.514802778641167,1.3071579784379,0.897831376344251,1.29847562061876,-0.456600704023258,0.713879980658467,-0.60156865372659,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,"low","umpLeft","FA"
"1108",2139,435522,-0.306999669460164,0.148864220007879,0.498496808994888,0.053814639229618,-0.408814990956586,-0.68142366696977,-0.781266508292103,-0.162251200180502,-0.53870064494444,0.0486596272157416,-1.21035702564593,-0.796565008550677,0.340039257954613,-0.57714274666793,-0.511873251010592,-0.176878407135999,0.161768029703208,-1.09602937615758,-0.159170976217953,0.587447814649566,0.366974455615171,-0.135389198949974,0.373598029131445,0.222768287163477,-0.156299596207989,-0.0230086416037007,0.85525431889459,0.345393239879913,0.10881295559713,0.718760313696558,-0.433479775907552,-0.671084786716826,-0.803394959318168,1.59186486344597,-0.0624599749538478,0.473067853452188,0.707767742334347,0.971622481123917,-0.297548725463834,-0.832228764925792,-0.256400453703207,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,"low","umpLeft","SL"
"1976",3015,543063,0.77605848845081,-0.34363724952863,-0.499160243379756,-0.523337308423529,0.0814475206451179,-0.35102684056081,-0.219084352419362,-0.735734218962368,-0.887994705839005,-0.716828014464982,0.528524978434535,-0.276336453577844,-0.716882147642671,-0.673317255238284,-0.469256923867507,-0.513208852904901,-0.236750644647268,0.544512002020292,-0.200037937236415,0.297530834437306,-0.194703468702801,-0.153261953810402,0.463386976911052,0.339332933399272,0.350865979004607,-0.0230086416037007,0.922544885531457,-0.0259114012809167,0.234077866718317,1.07934462010635,0.734214948809357,0.163656104228778,1.13585153677439,-0.369105531147587,-0.967145582328487,-0.539039710472603,0.573722863611573,0.985382097072935,-0.221540482889464,-1.03867445753858,-0.251255136182292,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,"middle","umpLeft","FA"
"1870",2906,467827,0.712625882526504,1.41895160471686,0.233243688099537,0.611227683059572,-0.204463502571992,-0.431942710458337,0.239650985400272,-0.0566046175418681,-0.323209354553466,-0.625698533312515,-0.668738040768409,0.640908630190045,-1.39876692544737,-0.961840780949346,-0.25617528815208,-1.2470207345825,0.976919863601908,-2.14258163465037,2.04764491877896,-1.5101868068862,-1.03722035517976,1.17527949081479,-1.36232162794094,-0.0880707694653089,-1.53691699539783,-0.189272410853608,-0.0363456890438997,-0.490042202731954,-0.423562916667913,-0.242797836729564,-0.188334056888334,-0.45874132965116,-0.303208504477889,-0.97768255015938,-0.514802778641167,-1.47415450118061,-1.65874718313333,0.0940343033583768,-0.149621701599437,-0.198678949675398,-0.282992425102012,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,"low","umpMiddle","SL"
"1909",2945,467827,0.712625882526504,1.41895160471686,0.233243688099537,0.611227683059572,-0.204463502571992,-0.431942710458337,0.239650985400272,-0.0566046175418681,-0.323209354553466,-0.625698533312515,-0.668738040768409,0.640908630190045,-1.39876692544737,-0.961840780949346,-0.25617528815208,-1.2470207345825,0.976919863601908,-2.14258163465037,2.04764491877896,-1.5101868068862,-1.03722035517976,1.17527949081479,-1.36232162794094,-0.0880707694653089,-1.53691699539783,-0.189272410853608,-0.0363456890438997,-0.490042202731954,-0.423562916667913,-0.242797836729564,-0.188334056888334,-0.45874132965116,-0.303208504477889,0.340900991032838,2.19925404348275,-1.47415450118061,-1.65874718313333,0.0940343033583768,-0.149621701599437,-0.198678949675398,-0.282992425102012,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,"low","umpLeft","SL"
"904",1927,453203,0.500406502412098,-0.500813440491823,0.244906404684935,-0.304522843958666,-1.38586451562848,-0.515623607157068,-0.554971964845141,-0.411854971999679,-0.185549470584231,-0.789731599386956,0.357487404262686,0.586147729666589,-1.31353132822178,-0.769491763808638,-0.207470914274268,-1.094143259233,-1.57722254928069,-0.332329079419607,-1.16722268134,-1.45902498684874,-1.13083334256609,-1.61287026741207,-1.24260303090147,-0.146353092583206,-0.494409979683052,-1.21456565456137,-0.843832488686305,-1.13982532476341,-0.730461948914821,-0.933917757348339,-0.576075008279464,-0.368346491456848,-1.09239448862971,1.45662552588779,0.389882828733472,-1.34441931873477,-1.51354739078591,-0.845175668068638,0.235451821635055,1.00077994093656,-0.522523370385733,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,"low","umpLeft","FA"
"3964",5163,448602,-0.297367414263609,-0.168730817511661,-0.181679882727154,-0.363553442728097,-0.490129686548494,-0.732002488843481,-0.432175278527961,-0.666848813272473,-0.66672368610787,0.9964062312014,-0.896788139664208,-0.180504877661796,0.459369094070435,-0.192444712386513,0.401333759198381,0.740386444961004,-0.309208585438264,0.346515628791928,0.82163608822512,0.451016294549679,1.1158783547058,0.210150728351645,1.06197996210843,0.183913405084879,1.05526261124432,0.836020832854153,0.737495827280072,1.64495948394282,0.634925582306114,1.50002631091778,0.300416313459855,1.42472147632262,0.768501511475585,-1.07911205332801,-1.87183118970313,0.216706568802336,0.803514084279186,0.86062140022176,-0.478583660258105,1.04757863496247,0.586999050424802,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,"middle","umpRight","FA"
"3642",4775,455104,0.0277877197195694,-0.705888215197449,-0.0196681414312884,-0.220330441514326,-1.21737821240968,-0.543421889364292,-0.741101675905413,-0.975496420211876,-0.796680737088545,-0.425213674777087,1.21267527512193,0.0932996249554845,-0.239562803179382,-0.192444712386513,-0.0187414654977468,0.128876543563002,0.0711956037144633,0.997075140827982,-0.281771859273337,-0.606327986224448,-0.662768405634444,0.0552535195612644,-0.853517590523175,-0.0686433284260098,1.05526261124432,1.25168025597892,-0.456911730524319,0.345393239879913,0.753927247871241,-0.152651760127115,0.509659376979015,0.23802917762057,0.397502159254264,-0.673394040653483,-0.0624599749538478,-0.0158574657956316,-0.611609456125613,-0.405957892124879,0.13713095660266,-0.55707699448187,0.513013137871742,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,"low","umpLeft","SL"
"4033",5232,491676,-1.0105747543927,0.92472927225849,0.552996501149221,0.805755851123569,-0.183102334170713,-0.819901362841265,-0.964457329177738,-0.530753848056218,-0.351581751236818,0.57721061790005,0.129437305366887,-0.317407128970436,0.885547080198372,-0.192444712386513,0.236956497360766,0.190027533702802,0.12553905930771,-0.0211919214893203,-0.404372742328721,0.604501754662052,0.0861354934561848,-0.123474029043021,0.613035223210396,-0.0297884463474115,0.29451424842543,-1.22842096866553,-0.271862672272935,-1.13982532476341,-0.517511600008804,-0.753625604143441,-0.256549573578768,0.476366492197475,-0.420980723485113,-1.65387923795026,-0.514802778641167,0.810870529086464,0.745627746248413,-0.201254866843509,-0.941777113084571,-0.249520300450456,-0.0645284070019463,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,"middle","umpLeft","FA"
