"","target_vertical","target_horizontal","target_type","index","batter"
"4322","low","umpRight","SL",5524,596115
"3958","low","umpLeft","FA",5157,518934
"1108","low","umpLeft","SL",2139,435522
"1976","middle","umpLeft","FA",3015,543063
"1870","low","umpMiddle","SL",2906,467827
"1909","low","umpLeft","SL",2945,467827
"904","low","umpLeft","FA",1927,453203
"3964","middle","umpRight","FA",5163,448602
"3642","low","umpLeft","SL",4775,455104
"4033","middle","umpLeft","FA",5232,491676
"462","low","umpLeft","CU",1477,543829
"1681","middle","umpLeft","FA",2717,445988
"359","low","umpLeft","FA",1371,611177
"2564","low","umpLeft","SL",3651,595978
"1110","high","umpRight","FA",2141,501571
"3769","low","umpMiddle","CU",4903,456715
"3060","low","umpMiddle","FA",4186,570267
"491","high","umpLeft","FA",1506,543829
"3459","low","umpLeft","SL",4588,608596
"1844","low","umpLeft","SL",2880,434636
"2492","high","umpLeft","FA",3563,491676
"1573","middle","umpMiddle","FA",2605,641771
"1228","middle","umpLeft","SL",2260,457763
"3035","low","umpRight","FA",4158,444489
"4140","low","umpMiddle","SL",5339,608384
"397","high","umpRight","FA",1412,543829
"2884","low","umpLeft","FA",3987,458681
"421","low","umpRight","CU",1436,453400
"2619","high","umpMiddle","CU",3711,605486
"1099","low","umpLeft","SL",2130,452678
"570","low","umpLeft","FA",1586,571976
"4162","low","umpLeft","FA",5361,601713
"1411","high","umpRight","FA",2443,456078
"3292","middle","umpLeft","SL",4421,608070
"4168","middle","umpMiddle","SL",5367,520471
"866","middle","umpMiddle","CU",1886,434567
"3220","low","umpRight","SL",4349,429665
"2781","middle","umpMiddle","FA",3876,456488
"517","low","umpLeft","CU",1532,519083
"3188","low","umpRight","SL",4317,475582
"1742","low","umpLeft","FA",2778,516770
"271","high","umpMiddle","FA",1273,474832
"1719","low","umpLeft","FA",2755,608701
"1271","low","umpLeft","SL",2303,474832
"2117","low","umpRight","FA",3162,596115
"2236","low","umpRight","FA",3284,502671
"3598","low","umpLeft","SL",4730,527043
"3054","low","umpLeft","FA",4180,541650
"3141","low","umpLeft","FA",4270,446653
"147","low","umpLeft","SL",1149,518516
"1568","low","umpRight","SL",2600,641771
"1725","low","umpRight","CU",2761,592122
"2209","middle","umpMiddle","CU",3257,630111
"3001","middle","umpMiddle","FA",4122,518792
"1451","low","umpLeft","SL",2483,502517
"4037","high","umpRight","SL",5236,605412
"3546","high","umpLeft","FA",4677,458913
"1","middle","umpMiddle","FA",1000,445055
"573","low","umpLeft","SL",1589,425834
"2036","middle","umpRight","FA",3081,430947
"482","low","umpMiddle","FA",1497,453400
"895","middle","umpMiddle","SL",1918,405395
"2956","low","umpLeft","FA",4065,595879
"158","low","umpLeft","SL",1160,434636
"659","low","umpRight","CU",1675,453064
"3512","high","umpRight","FA",4643,571448
"3457","low","umpLeft","FA",4586,606132
